release_year,product,dataset_id,geography_level,geography_vintage,measure_id,display_name,exact_definition,target_population,eligibility,data_value_type,brfss_source_year,carried_forward_flag,predecessor,exact_copy_percentage,common_geography_count,coverage_change,poststratification_population_base,confidence_interval_method_era,definition_comparability,geography_population_comparability,documentation_source,verification_note,carry_forward_classification,comparability_breaks
2017,500 Cities,vurf-k5wr,tract,2010 Census tracts,DIABETES,Diagnosed diabetes,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2015,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2017,500 Cities,vurf-k5wr,tract,2010 Census tracts,HIGHCHOL,High cholesterol,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2015,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2017,500 Cities,vurf-k5wr,tract,2010 Census tracts,MAMMOUSE,Mammography,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,female screening-eligible population; exact age rule requires release-specific verification,Crude prevalence,2014,True,2016:MAMMOUSE,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,
2017,500 Cities,vurf-k5wr,tract,2010 Census tracts,MHLTH,Frequent mental distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2015,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2017,500 Cities,vurf-k5wr,tract,2010 Census tracts,OBESITY,Obesity,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2015,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2017,500 Cities,vurf-k5wr,tract,2010 Census tracts,PHLTH,Frequent physical distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2015,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2018,500 Cities,rja3-32tc,tract,2010 Census tracts,CANCER,Cancer (except skin cancer),Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2016,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2018,500 Cities,rja3-32tc,tract,2010 Census tracts,COLON_SCREEN,Colorectal cancer screening,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,ages 45-75 in 2024/2025; historical age rule requires release-specific definition verification,Crude prevalence,2016,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2018,500 Cities,rja3-32tc,tract,2010 Census tracts,DIABETES,Diagnosed diabetes,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2016,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2018,500 Cities,rja3-32tc,tract,2010 Census tracts,HIGHCHOL,High cholesterol,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2015,True,2017:HIGHCHOL,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,
2018,500 Cities,rja3-32tc,tract,2010 Census tracts,MAMMOUSE,Mammography,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,female screening-eligible population; exact age rule requires release-specific verification,Crude prevalence,2016,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2018,500 Cities,rja3-32tc,tract,2010 Census tracts,MHLTH,Frequent mental distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2016,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2018,500 Cities,rja3-32tc,tract,2010 Census tracts,OBESITY,Obesity,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2016,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2018,500 Cities,rja3-32tc,tract,2010 Census tracts,PHLTH,Frequent physical distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2016,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2019,500 Cities,6vp6-wxuq,tract,2010 Census tracts,CANCER,Cancer (except skin cancer),Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2017,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2019,500 Cities,6vp6-wxuq,tract,2010 Census tracts,COLON_SCREEN,Colorectal cancer screening,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,ages 45-75 in 2024/2025; historical age rule requires release-specific definition verification,Crude prevalence,2016,True,2018:COLON_SCREEN,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,
2019,500 Cities,6vp6-wxuq,tract,2010 Census tracts,DIABETES,Diagnosed diabetes,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2017,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2019,500 Cities,6vp6-wxuq,tract,2010 Census tracts,HIGHCHOL,High cholesterol,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2017,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2019,500 Cities,6vp6-wxuq,tract,2010 Census tracts,MAMMOUSE,Mammography,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,female screening-eligible population; exact age rule requires release-specific verification,Crude prevalence,2016,True,2018:MAMMOUSE,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,
2019,500 Cities,6vp6-wxuq,tract,2010 Census tracts,MHLTH,Frequent mental distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2017,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2019,500 Cities,6vp6-wxuq,tract,2010 Census tracts,OBESITY,Obesity,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2017,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2019,500 Cities,6vp6-wxuq,tract,2010 Census tracts,PHLTH,Frequent physical distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2017,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2020,PLACES,dv4u-3x3q,county,county geography; vintage to verify,CANCER,Cancer (except skin cancer),Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,annual county population estimate,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,dv4u-3x3q,county,county geography; vintage to verify,COLON_SCREEN,Colorectal cancer screening,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,ages 45-75 in 2024/2025; historical age rule requires release-specific definition verification,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,annual county population estimate,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,dv4u-3x3q,county,county geography; vintage to verify,DIABETES,Diagnosed diabetes,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,annual county population estimate,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,dv4u-3x3q,county,county geography; vintage to verify,HIGHCHOL,High cholesterol,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2017,True,2019:HIGHCHOL,,,500 Cities to national PLACES expansion,annual county population estimate,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,product-scope
2020,PLACES,dv4u-3x3q,county,county geography; vintage to verify,MAMMOUSE,Mammography,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,female screening-eligible population; exact age rule requires release-specific verification,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,annual county population estimate,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,dv4u-3x3q,county,county geography; vintage to verify,MHLTH,Frequent mental distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,annual county population estimate,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,dv4u-3x3q,county,county geography; vintage to verify,OBESITY,Obesity,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,annual county population estimate,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,dv4u-3x3q,county,county geography; vintage to verify,PHLTH,Frequent physical distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,annual county population estimate,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,4ai3-zynv,tract,2010 Census tracts,CANCER,Cancer (except skin cancer),Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,2010 Census fixed subcounty population,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,4ai3-zynv,tract,2010 Census tracts,COLON_SCREEN,Colorectal cancer screening,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,ages 45-75 in 2024/2025; historical age rule requires release-specific definition verification,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,2010 Census fixed subcounty population,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,4ai3-zynv,tract,2010 Census tracts,DIABETES,Diagnosed diabetes,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,2010 Census fixed subcounty population,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,4ai3-zynv,tract,2010 Census tracts,HIGHCHOL,High cholesterol,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2017,True,2019:HIGHCHOL,,,500 Cities to national PLACES expansion,2010 Census fixed subcounty population,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,product-scope
2020,PLACES,4ai3-zynv,tract,2010 Census tracts,MAMMOUSE,Mammography,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,female screening-eligible population; exact age rule requires release-specific verification,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,2010 Census fixed subcounty population,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,4ai3-zynv,tract,2010 Census tracts,MHLTH,Frequent mental distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,2010 Census fixed subcounty population,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,4ai3-zynv,tract,2010 Census tracts,OBESITY,Obesity,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,2010 Census fixed subcounty population,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2020,PLACES,4ai3-zynv,tract,2010 Census tracts,PHLTH,Frequent physical distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2018,False,,,,500 Cities to national PLACES expansion,2010 Census fixed subcounty population,pre-2023,unresolved,break,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,product-scope
2021,PLACES,pqpp-u99h,county,county geography; vintage to verify,CANCER,Cancer (except skin cancer),Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2019,False,,,,none documented in preliminary map,annual county population estimate,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2021,PLACES,pqpp-u99h,county,county geography; vintage to verify,COLON_SCREEN,Colorectal cancer screening,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,ages 45-75 in 2024/2025; historical age rule requires release-specific definition verification,Crude prevalence,2018,True,2020:COLON_SCREEN,,,none documented in preliminary map,annual county population estimate,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,
2021,PLACES,pqpp-u99h,county,county geography; vintage to verify,DIABETES,Diagnosed diabetes,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2019,False,,,,none documented in preliminary map,annual county population estimate,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2021,PLACES,pqpp-u99h,county,county geography; vintage to verify,HIGHCHOL,High cholesterol,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2019,False,,,,none documented in preliminary map,annual county population estimate,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2021,PLACES,pqpp-u99h,county,county geography; vintage to verify,MAMMOUSE,Mammography,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,female screening-eligible population; exact age rule requires release-specific verification,Crude prevalence,2018,True,2020:MAMMOUSE,,,none documented in preliminary map,annual county population estimate,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,
